date,product_id,category_id,store_id,historical_sales,price,promotion_flag,holiday_flag,economic_index,target_demand,historical_sales_is_outlier,price_is_outlier,economic_index_is_outlier,target_demand_is_outlier,target_demand_log1p,economic_index_clipped,year,month,day,week,weekday,lag_1,lag_7,rolling_7,rolling_30,product_id_enc,store_id_enc,promo_count_last_7,promo_count_last_30,days_since_last_promo,promo_x_lag1,price_x_promo,holiday_count_last_7,holiday_count_last_30,days_since_last_holiday,holiday_x_lag1,holiday_x_promo,avg_hist_sales,std_hist_sales,cv_hist_sales,supplier_lead_days,supplier_reliability,demand_during_lead,safety_stock,reorder_point,current_stock,days_of_supply,suggested_order_qty,needs_reorder_flag,slow_moving,high_demand,volatile,critical_spare_flag,stockout_risk_score
2022-01-02,1043,4,9,16,48.29,0,0,84.07,8,0,0,0,0,2.1972245773362196,84.07,2022,1,2,52,6,0.0,0.0,0.0,0.0,43,8,0.0,0.0,999,0.0,0.0,0.0,0.0,999,0.0,0,19.714285714285715,3.728908942943217,0.18914755507682984,6,0.71,118.29,15.07,133.36,138,7.0,0,0,1,0,0,0,0.0
2022-01-02,1012,4,2,25,44.01,0,0,106.87,22,0,0,0,0,3.1354942159291497,106.87,2022,1,2,52,6,0.0,0.0,0.0,0.0,12,1,0.0,0.0,999,0.0,0.0,0.0,0.0,999,0.0,0,19.833333333333332,2.5524794837866014,0.12869644456066898,11,0.64,218.17,13.97,232.13,218,10.99,15,1,0,0,0,0,0.022
2022-01-03,1003,5,4,26,9.44,1,0,104.98,29,0,0,0,0,3.4011973816621555,104.98,2022,1,3,1,0,0.0,0.0,0.0,0.0,3,3,1.0,1.0,0,0.0,9.44,0.0,0.0,999,0.0,0,22.11111111111111,4.013864859597431,0.18153157656470795,26,0.71,574.89,33.77,608.66,310,14.02,299,1,0,1,0,1,0.142
2022-01-03,1005,4,1,23,5.42,1,1,92.75,22,0,0,0,0,3.1354942159291497,92.75,2022,1,3,1,0,0.0,0.0,0.0,0.0,5,0,1.0,1.0,0,0.0,5.42,1.0,1.0,0,0.0,1,18.0,3.2659863237109032,0.18144368465060573,4,0.65,72.0,10.78,82.78,90,5.0,0,0,1,0,0,0,0.0
2022-01-04,1011,1,5,12,21.86,1,1,103.6,27,0,0,0,0,3.332204510175204,103.6,2022,1,4,1,1,0.0,0.0,0.0,0.0,11,4,1.0,1.0,0,0.0,21.86,1.0,1.0,0,0.0,1,19.272727272727273,4.880387465988927,0.2532276515371613,22,0.87,424.0,37.77,461.77,366,18.99,96,1,1,0,1,0,0.027
2022-01-05,1025,4,6,18,38.99,0,0,101.52,20,0,0,0,0,3.044522437723423,101.52,2022,1,5,1,2,0.0,0.0,0.0,0.0,25,5,0.0,0.0,999,0.0,0.0,0.0,0.0,999,0.0,0,21.5,4.831785782312151,0.2247342224331233,8,0.85,172.0,22.55,194.55,387,18.0,0,0,0,1,0,0,0.0
2022-01-06,1012,3,1,23,21.57,0,0,98.52,21,0,0,0,0,3.091042453358316,98.52,2022,1,6,1,3,0.0,0.0,0.0,0.0,12,0,0.0,0.0,999,0.0,0.0,0.0,0.0,999,0.0,0,18.272727272727273,4.776838056516236,0.26141899811780395,11,0.64,201.0,26.14,227.14,256,14.01,0,0,1,0,1,0,0.0
2022-01-07,1009,3,4,19,18.8,0,0,95.27,11,0,0,0,0,2.4849066497880004,95.27,2022,1,7,1,4,0.0,0.0,0.0,0.0,9,3,0.0,0.0,999,0.0,0.0,0.0,0.0,999,0.0,0,19.77777777777778,4.3237072570242825,0.21861441187201427,16,0.93,316.44,28.54,344.98,158,7.99,187,1,0,0,0,0,0.038
2022-01-08,1026,5,10,18,33.3,0,0,85.58,16,0,0,0,0,2.833213344056216,85.58,2022,1,8,1,5,0.0,0.0,0.0,0.0,26,9,0.0,0.0,999,0.0,0.0,0.0,0.0,999,0.0,0,19.125,6.197637798848388,0.3240594927502425,25,0.62,478.12,51.13,529.26,96,5.02,434,1,1,0,1,0,0.311
2022-01-08,1023,1,6,27,7.78,1,1,112.94,32,0,0,0,0,3.4965075614664802,112.94,2022,1,8,1,5,0.0,0.0,0.0,0.0,23,5,1.0,1.0,0,0.0,7.78,1.0,1.0,0,0.0,1,20.3,4.110960958218892,0.2025103920304873,30,0.91,609.0,37.15,646.15,406,20.0,241,1,0,1,0,0,0.033
2022-01-10,1033,4,8,17,21.1,0,1,98.64,17,0,0,0,0,2.8903717578961645,98.64,2022,1,10,2,0,0.0,0.0,0.0,0.0,33,7,0.0,0.0,999,0.0,0.0,1.0,1.0,0,0.0,0,15.571428571428571,4.197504927816955,0.2695645366487953,4,0.61,62.29,13.85,76.14,311,19.97,0,0,1,0,1,0,0.0
2022-01-10,1038,2,4,19,43.0,0,0,104.67,21,0,0,0,0,3.091042453358316,104.67,2022,1,10,2,0,0.0,0.0,0.0,0.0,38,3,0.0,0.0,999,0.0,0.0,0.0,0.0,999,0.0,0,21.53846153846154,6.462911941936913,0.30006376873278523,5,0.66,107.69,23.84,131.54,237,11.0,0,0,0,1,1,1,0.0
2022-01-10,1023,5,7,18,37.12,1,0,98.67,29,0,0,0,0,3.4011973816621555,98.67,2022,1,10,2,0,0.0,0.0,0.0,0.0,23,6,1.0,1.0,0,0.0,37.12,0.0,0.0,999,0.0,0,21.133333333333333,4.34028746030666,0.20537637824794924,30,0.91,634.0,39.23,673.23,359,16.99,315,1,0,1,0,0,0.042
2022-01-11,1049,3,8,18,8.92,0,0,93.43,22,0,0,0,0,3.1354942159291497,93.43,2022,1,11,2,1,0.0,0.0,0.0,0.0,49,7,0.0,0.0,999,0.0,0.0,0.0,0.0,999,0.0,0,19.583333333333332,4.699290726623895,0.23996378178504996,24,0.93,470.0,37.99,507.99,392,20.02,116,1,1,0,0,0,0.016
2022-01-12,1046,3,2,14,5.52,0,0,92.11,9,0,0,0,0,2.302585092994046,92.11,2022,1,12,2,2,0.0,0.0,0.0,0.0,46,1,0.0,0.0,999,0.0,0.0,0.0,0.0,999,0.0,0,19.166666666666668,4.448356863818233,0.23208818419921215,29,0.82,555.83,39.53,595.36,172,8.97,424,1,1,0,0,0,0.128
2022-01-14,1011,5,5,15,18.19,0,0,80.42,6,0,0,0,0,1.9459101490553132,80.42,2022,1,14,2,4,27.0,0.0,0.0,0.0,11,4,1.0,1.0,1,0.0,0.0,1.0,1.0,1,0.0,0,19.272727272727273,4.880387465988927,0.2532276515371613,22,0.87,424.0,37.77,461.77,366,18.99,96,1,1,0,1,0,0.027
2022-01-16,1024,5,7,17,45.98,1,0,95.16,22,0,0,0,0,3.1354942159291497,95.16,2022,1,16,2,6,0.0,0.0,0.0,0.0,24,6,1.0,1.0,0,0.0,45.98,0.0,0.0,999,0.0,0,20.416666666666668,5.451577475345735,0.2670160396087707,19,0.68,387.92,39.21,427.13,327,16.02,101,1,0,1,1,1,0.075
2022-01-17,1031,1,6,16,9.8,1,0,106.16,34,0,0,0,0,3.5553480614894135,106.16,2022,1,17,3,0,0.0,0.0,0.0,0.0,31,5,1.0,1.0,0,0.0,9.8,0.0,0.0,999,0.0,0,18.333333333333332,2.5495097567963922,0.13906416855253048,26,0.67,476.67,21.45,498.12,220,12.0,279,1,1,0,0,0,0.184
2022-01-17,1011,3,2,19,11.25,0,0,112.37,16,0,0,0,0,2.833213344056216,112.37,2022,1,17,3,0,0.0,0.0,0.0,0.0,11,1,0.0,0.0,999,0.0,0.0,0.0,0.0,999,0.0,0,20.454545454545453,4.80340788115347,0.23483327418972522,22,0.87,450.0,37.17,487.17,245,11.98,243,1,0,1,0,0,0.065
2022-01-17,1042,2,7,12,41.8,0,0,106.83,7,0,0,0,0,2.0794415416798357,106.83,2022,1,17,3,0,0.0,0.0,0.0,0.0,42,6,0.0,0.0,999,0.0,0.0,0.0,0.0,999,0.0,0,19.7,4.110960958218893,0.20867822122938545,17,0.94,334.9,27.97,362.87,276,14.01,87,1,1,0,0,0,0.014
2022-01-19,1026,3,4,12,40.74,0,0,85.57,16,0,0,0,0,2.833213344056216,85.57,2022,1,19,3,2,0.0,0.0,0.0,0.0,26,3,0.0,0.0,999,0.0,0.0,0.0,0.0,999,0.0,0,19.0,4.58257569495584,0.24118819447136,25,0.62,475.0,37.81,512.81,133,7.0,380,1,1,0,0,0,0.281
2022-01-19,1011,3,9,22,41.69,1,0,110.34,31,0,0,0,0,3.4657359027997265,110.34,2022,1,19,3,2,0.0,0.0,0.0,0.0,11,8,1.0,1.0,0,0.0,41.69,0.0,0.0,999,0.0,0,19.076923076923077,4.386751616354606,0.2299506895669753,22,0.87,419.69,33.95,453.64,134,7.02,320,1,1,0,0,0,0.092
2022-01-19,1021,2,10,14,44.73,0,0,97.04,25,0,0,0,0,3.258096538021482,97.04,2022,1,19,3,2,0.0,0.0,0.0,0.0,21,9,0.0,0.0,999,0.0,0.0,0.0,0.0,999,0.0,0,19.818181818181817,5.0560494819212725,0.25512176284923854,24,0.97,475.64,40.87,516.51,198,9.99,319,1,0,0,1,0,0.018
2022-01-19,1010,5,10,20,26.83,0,0,101.3,19,0,0,0,0,2.995732273553991,101.3,2022,1,19,3,2,0.0,0.0,0.0,0.0,10,9,0.0,0.0,999,0.0,0.0,0.0,0.0,999,0.0,0,20.444444444444443,2.127857555800617,0.1040799891424215,5,0.7,102.22,7.85,110.07,102,4.99,9,1,0,1,0,1,0.022
2022-01-21,1026,5,6,16,13.17,0,0,112.15,16,0,0,0,0,2.833213344056216,112.15,2022,1,21,3,4,0.0,0.0,0.0,0.0,26,5,0.0,0.0,999,0.0,0.0,0.0,0.0,999,0.0,0,20.272727272727273,3.635681754249376,0.1793385618688033,25,0.62,506.82,29.99,536.81,345,17.02,192,1,0,1,0,1,0.136
2022-01-22,1019,3,1,20,24.98,0,0,95.0,20,0,0,0,0,3.044522437723423,95.0,2022,1,22,3,5,0.0,0.0,0.0,0.0,19,0,0.0,0.0,999,0.0,0.0,0.0,0.0,999,0.0,0,20.0,3.2659863237109046,0.16329931618554522,18,0.63,360.0,22.86,382.86,140,7.0,243,1,0,0,0,0,0.235
2022-01-22,1045,4,1,18,24.24,0,0,89.85,16,0,0,0,0,2.833213344056216,89.85,2022,1,22,3,5,0.0,0.0,0.0,0.0,45,0,0.0,0.0,999,0.0,0.0,0.0,0.0,999,0.0,0,15.8,5.932958789676531,0.3755037208656032,12,0.65,189.6,33.91,223.51,205,12.97,19,1,1,0,1,0,0.029
2022-01-23,1038,1,9,27,12.59,1,0,89.31,43,0,0,0,1,3.784189633918261,89.31,2022,1,23,3,6,0.0,0.0,0.0,0.0,38,8,1.0,1.0,0,0.0,12.59,0.0,0.0,999,0.0,0,22.0,4.0551750201988135,0.18432613728176425,5,0.66,110.0,14.96,124.96,264,12.0,0,0,0,1,0,1,0.0
2022-01-25,1024,2,5,17,20.34,0,0,104.81,14,0,0,0,0,2.70805020110221,104.81,2022,1,25,4,1,0.0,0.0,0.0,0.0,24,4,0.0,0.0,999,0.0,0.0,0.0,0.0,999,0.0,0,19.666666666666668,6.557438524302,0.33342907750688133,19,0.68,373.67,47.16,420.83,118,6.0,303,1,1,0,1,0,0.23
2022-01-26,1030,1,2,19,37.84,0,0,93.56,20,0,0,0,0,3.044522437723423,93.56,2022,1,26,4,2,0.0,0.0,0.0,0.0,30,1,0.0,0.0,999,0.0,0.0,0.0,0.0,999,0.0,0,19.5,4.869731585445518,0.24972982489464193,9,0.9,175.5,24.11,199.61,176,9.03,24,1,1,0,1,0,0.012
2022-01-28,1010,5,3,23,22.34,1,0,91.17,31,0,0,0,0,3.4657359027997265,91.17,2022,1,28,4,4,0.0,0.0,0.0,0.0,10,2,1.0,1.0,0,0.0,22.34,0.0,0.0,999,0.0,0,19.76923076923077,4.530523261792287,0.22917043736692502,5,0.7,98.85,16.72,115.56,198,10.02,0,0,0,0,0,0,0.0
2022-01-29,1043,5,7,21,24.78,1,1,91.62,37,0,0,0,0,3.6375861597263857,91.62,2022,1,29,4,5,0.0,0.0,0.0,0.0,43,6,1.0,1.0,0,0.0,24.78,1.0,1.0,0,0.0,1,23.125,8.236460751699465,0.356171275749166,6,0.71,138.75,33.29,172.04,301,13.02,0,0,0,1,1,1,0.0
